crc,name,game,title
af7bc8b7,677-s1.snd,qbquest,Q*Bert's Quest
820aa26f,677-s2.snd,qbquest,Q*Bert's Quest
decf84e6,680.cpu,sorbit,Super Orbit
fccbbbdd,680-s1.snd,sorbit,Super Orbit
d883d63d,680-s2.snd,sorbit,Super Orbit
0b048658,681-2.cpu,rflshdlx,Royal Flush Deluxe (rev. 2)
33455bbd,681-s1.snd,rflshdlx,Royal Flush Deluxe (rev. 2)
639c93f9,681-s2.snd,rflshdlx,Royal Flush Deluxe (rev. 2)
2d6b3729,681-1.BIN,rflshdlx1,Royal Flush Deluxe (rev. 1)
51c7c6de,682.cpu,goinnuts,Goin' Nuts
f00dabf3,682-s1.snd,goinnuts,Goin' Nuts
3be8ac5f,682-s2.snd,goinnuts,Goin' Nuts
b0d0c4af,684-2.cpu,amazonh,Amazon Hunt
86d239df,684-s1.snd,amazonh,Amazon Hunt
4d8ea26c,684-s2.snd,amazonh,Amazon Hunt
7fac5132,684-1.cpu,amazonha,Amazon Hunt (alternate set)
4754d68d,685.cpu,rackemup,Rack 'Em Up
d4219987,685-s.snd,rackemup,Rack 'Em Up
d1e7a0de,686.cpu,raimfire,Ready...Aim...Fire!
09740682,686-s.snd,raimfire,Ready...Aim...Fire!
0080565e,687.cpu,jack2opn,Jacks to Open
f9d10b7a,687-s.snd,jack2opn,Jacks to Open
4262006b,689a.cpu,alienstr,Alien Star
e1e7a610,689-s.snd,alienstr,Alien Star
50f620ea,691.cpu,thegames,Games  The
d7011a31,691-s.snd,thegames,Games  The
b80042c0,691A_PROM1.bin,thegamsb,Games  The (rev. 1)
b271ea10,691B_PROM1.bin,thegamsc,Games  The (rev. 2 MOD)
e531ab3f,688.cpu,touchdn,Touchdown
5e9988a6,688-s.snd,touchdn,Touchdown
4ee6d09b,692-2.cpu,eldorado,El Dorado City of Gold
9bfbf400,692-s.snd,eldorado,El Dorado City of Gold
2f6e9caf,695.cpu,icefever,Ice Fever
daededc2,695-s.snd,icefever,Ice Fever
42b29b01,prom1.cpu,triplay,Chicago Cubs Triple Play
deedea61,696-s.snd,triplay,Chicago Cubs Triple Play
fc2145cb,prom1a.cpu,triplaya,Chicago Cubs Triple Play (rev. 1)
521946d4,prom1_fp.cpu,triplyfp,Chicago Cubs Triple Play (Free Play)
4b58be44,prom1_f1.cpu,triplyf1,Chicago Cubs Triple Play (rev. 1 Free Play)
5e2bf7a9,prom1g.cpu,triplayg,Chicago Cubs Triple Play (German)
7b6e6819,prom1g_fp.cpu,triplgfp,Chicago Cubs Triple Play (German Free Play)
e8190df7,prom1.cpu,bountyh,Bounty Hunter
a0383e41,694-s.snd,bountyh,Bounty Hunter
9e68b714,prom1_fp.cpu,bounthfp,Bounty Hunter (Free Play)
ea4b7e2d,prom1g.cpu,bountyhg,Bounty Hunter (German)
07b9333f,prom1g_fp.cpu,bountgfp,Bounty Hunter (German Free Play)
fd1615ce,prom2.cpu,tagteam,Tag-Team Pinball
65931038,prom1.cpu,tagteam,Tag-Team Pinball
9c8191b7,698-s.snd,tagteam,Tag-Team Pinball
6d56b636,prom2a.cpu,tagteam2,Tag-Team Pinball (rev. 2)
92766607,prom1a.cpu,tagteam2,Tag-Team Pinball (rev. 2)
3f052c44,prom1_fp.cpu,tagtemfp,Tag-Team Pinball (Free Play)
5e6d2da7,prom2g.cpu,tagteamg,Tag-Team Pinball (German)
e206c519,prom1g.cpu,tagteamg,Tag-Team Pinball (German)
ae1ed7a2,prom1g_fp.cpu,tagtmgfp,Tag-Team Pinball (German Free Play)
9c2c0058,prom1_2f.cpu,tagtem2f,Tag-Team Pinball (rev. 2 Free Play)
1146c1d3,prom1.cpu,rock,Rock
03830e81,drom1.snd,rock,Rock
effba2ad,yrom1.snd,rock,Rock
77736ac3,prom1_fp.cpu,rockfp,Rock (Free Play)
2de3f1e5,prom1g.cpu,rockg,Rock (German)
792b4be4,prom1g_fp.cpu,rockgfp,Rock (German Free Play)
481f3fb8,prom2.cpu,raven,Raven
edc88561,prom1.cpu,raven,Raven
a04bf7d0,drom1.snd,raven,Raven
ee5f868b,yrom1.snd,raven,Raven
a693785e,prom2a.cpu,ravena,Raven (rev. 1)
d6e5120b,prom1_fp.cpu,ravenfp,Raven (Free Play)
4ca540a5,prom2g.cpu,raveng,Raven (German)
3441aeda,prom1g.cpu,raveng,Raven (German)
ab3bbef5,prom1g_fp.cpu,ravengfp,Raven (German Free Play)
51629598,prom1r.cpu,rambo,Rambo (Raven unofficial MOD)
b8aa8912,drom1a.snd,rock_enc,Rock Encore
a62e3b94,yrom1a.snd,rock_enc,Rock Encore
66645a3f,yrom2a.snd,rock_enc,Rock Encore
410d02f6,prom1c.cpu,clash,Clash  The (Rock Encore unofficial MOD)
